OMR Version,Policy # (masked),Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update),Odom Reading All (Previous),Odom Reading All (Update),Diff All,Count1,Count2,Count3,Count4,#Cars in Policy
Sign Top,1,896,39198,,,,,,,896,39198,38302,1,0,0,0,1
Sign Bottom,2,21396,63511,32659,47605,,,,,27027.5,55558,28530.5,1,1,0,0,2
Sign Bottom,3,21340,37460,44998,59002,,,,,33169,48231,15062,1,1,0,0,2
Sign Bottom,4,23912,59136,,,,,,,23912,59136,35224,1,0,0,0,1
Sign Bottom,5,16862,59292,,,,,,,16862,59292,42430,1,0,0,0,1
Sign Top,6,147738,167895,125820,164688,,,,,136779,166291.5,29512.5,1,1,0,0,2
Sign Bottom,7,18780,49811,45402,54824,,,,,32091,52317.5,20226.5,1,1,0,0,2
Sign Top,8,41930,80323,181416,229852,,,,,111673,155087.5,43414.5,1,1,0,0,2
Sign Top,9,28993,63707,13291,28165,,,,,21142,45936,24794,1,1,0,0,2
Sign Bottom,10,78382,127817,,,,,,,78382,127817,49435,1,0,0,0,1
Sign Top,11,58500,81081,,,,,,,58500,81081,22581,1,0,0,0,1
Sign Bottom,12,99417,149211,48770,95179,72620,115338,,,73602.33333,119909.3333,46307,1,1,1,0,3
Sign Bottom,13,93231,98047,,,,,,,93231,98047,4816,1,0,0,0,1
Sign Bottom,14,83443,105094,,,,,,,83443,105094,21651,1,0,0,0,1
Sign Bottom,15,22008,26486,,,,,,,22008,26486,4478,1,0,0,0,1
Sign Bottom,16,27950,59514,95883,126309,,,,,61916.5,92911.5,30995,1,1,0,0,2
Sign Bottom,17,67589,100475,27617,74443,,,,,47603,87459,39856,1,1,0,0,2
Sign Bottom,18,32753,76724,,,,,,,32753,76724,43971,1,0,0,0,1
Sign Top,19,33044,70775,,,,,,,33044,70775,37731,1,0,0,0,1
Sign Bottom,20,104857,109961,19548,47796,,,,,62202.5,78878.5,16676,1,1,0,0,2
Sign Bottom,21,121699,137849,,,,,,,121699,137849,16150,1,0,0,0,1
Sign Top,22,16094,45489,159167,200316,,,,,87630.5,122902.5,35272,1,1,0,0,2
Sign Top,23,78182,122739,21730,37863,,,118250,166773,72720.66667,109125,36404.33333,1,1,0,1,3
Sign Bottom,24,21735,58693,39666,77258,,,,,30700.5,67975.5,37275,1,1,0,0,2
Sign Top,25,47473,68971,4502,47293,,,,,25987.5,58132,32144.5,1,1,0,0,2
Sign Bottom,26,121416,123661,53987,86852,,,,,87701.5,105256.5,17555,1,1,0,0,2
Sign Bottom,27,4616,30597,,,,,,,4616,30597,25981,1,0,0,0,1
Sign Bottom,28,13604,31750,,,,,,,13604,31750,18146,1,0,0,0,1
Sign Bottom,29,125000,139801,,,,,,,125000,139801,14801,1,0,0,0,1
Sign Top,30,40463,70095,,,,,,,40463,70095,29632,1,0,0,0,1
Sign Top,31,34823,78262,,,,,,,34823,78262,43439,1,0,0,0,1
Sign Top,32,120296,137162,138617,169196,,,,,129456.5,153179,23722.5,1,1,0,0,2
Sign Top,33,79173,125933,,,,,,,79173,125933,46760,1,0,0,0,1
Sign Bottom,34,110372,142100,,,,,,,110372,142100,31728,1,0,0,0,1
Sign Bottom,35,3586,41419,,,,,,,3586,41419,37833,1,0,0,0,1
Sign Top,36,26017,60347,12996,17179,95278,115881,,,44763.66667,64469,19705.33333,1,1,1,0,3
Sign Top,37,149000,177873,,,,,,,149000,177873,28873,1,0,0,0,1
Sign Top,38,15939,17025,,,,,,,15939,17025,1086,1,0,0,0,1
Sign Bottom,39,23949,27990,,,,,,,23949,27990,4041,1,0,0,0,1
Sign Bottom,40,119260,143890,46277,62779,,,,,82768.5,103334.5,20566,1,1,0,0,2
Sign Top,41,31600,33172,,,,,,,31600,33172,1572,1,0,0,0,1
Sign Top,42,80000,96440,120000,140876,,,,,100000,118658,18658,1,1,0,0,2
Sign Bottom,43,119420,162182,210631,258131,,,,,165025.5,210156.5,45131,1,1,0,0,2
Sign Bottom,44,91532,119830,64925,67697,,,,,78228.5,93763.5,15535,1,1,0,0,2
Sign Bottom,45,120927,130538,,,,,,,120927,130538,9611,1,0,0,0,1
Sign Top,46,116843,143167,,,,,,,116843,143167,26324,1,0,0,0,1
Sign Bottom,47,53962,98112,,,,,,,53962,98112,44150,1,0,0,0,1
Sign Top,48,67059,105702,,,,,,,67059,105702,38643,1,0,0,0,1
Sign Top,49,117216,118351,206109,235937,,,,,161662.5,177144,15481.5,1,1,0,0,2
Sign Top,50,43792,91238,67545,85554,,,,,55668.5,88396,32727.5,1,1,0,0,2
Sign Bottom,51,13781,54459,,,,,,,13781,54459,40678,1,0,0,0,1
Sign Top,52,42064,49235,869,36912,,,,,21466.5,43073.5,21607,1,1,0,0,2
Sign Bottom,53,145271,167129,,,,,,,145271,167129,21858,1,0,0,0,1
Sign Top,54,58545,95608,,,,,,,58545,95608,37063,1,0,0,0,1
Sign Top,55,26545,52377,60000,106312,,,,,43272.5,79344.5,36072,1,1,0,0,2
Sign Top,56,50388,98369,,,,,,,50388,98369,47981,1,0,0,0,1
Sign Top,57,108263,132557,32234,66701,,,,,70248.5,99629,29380.5,1,1,0,0,2
Sign Top,58,40711,82311,,,,,,,40711,82311,41600,1,0,0,0,1
Sign Top,59,105099,139843,,,,,,,105099,139843,34744,1,0,0,0,1
Sign Top,60,37776,51717,,,,,,,37776,51717,13941,1,0,0,0,1
Sign Bottom,61,189000,197565,,,,,,,189000,197565,8565,1,0,0,0,1
Sign Top,62,144593,174019,,,,,,,144593,174019,29426,1,0,0,0,1
Sign Top,63,94162,112348,,,,,,,94162,112348,18186,1,0,0,0,1
