"","dateRep","day","month","year","cases","deaths","country","popData2019","continentExp"
"1","11/12/2020",11,12,2020,63,10,"Afghanistan",38041757,"Asia"
"2","10/12/2020",10,12,2020,202,16,"Afghanistan",38041757,"Asia"
"3","09/12/2020",9,12,2020,135,13,"Afghanistan",38041757,"Asia"
"4","08/12/2020",8,12,2020,200,6,"Afghanistan",38041757,"Asia"
"5","07/12/2020",7,12,2020,210,26,"Afghanistan",38041757,"Asia"
"6","06/12/2020",6,12,2020,234,10,"Afghanistan",38041757,"Asia"
"7","05/12/2020",5,12,2020,235,18,"Afghanistan",38041757,"Asia"
"8","04/12/2020",4,12,2020,119,5,"Afghanistan",38041757,"Asia"
"9","03/12/2020",3,12,2020,202,19,"Afghanistan",38041757,"Asia"
"10","02/12/2020",2,12,2020,400,48,"Afghanistan",38041757,"Asia"
"11","01/12/2020",1,12,2020,272,11,"Afghanistan",38041757,"Asia"
"12","30/11/2020",30,11,2020,0,0,"Afghanistan",38041757,"Asia"
"13","29/11/2020",29,11,2020,228,11,"Afghanistan",38041757,"Asia"
"14","28/11/2020",28,11,2020,214,15,"Afghanistan",38041757,"Asia"
"15","27/11/2020",27,11,2020,0,0,"Afghanistan",38041757,"Asia"
"16","26/11/2020",26,11,2020,200,12,"Afghanistan",38041757,"Asia"
"17","25/11/2020",25,11,2020,185,13,"Afghanistan",38041757,"Asia"
"18","24/11/2020",24,11,2020,246,17,"Afghanistan",38041757,"Asia"
"19","23/11/2020",23,11,2020,252,8,"Afghanistan",38041757,"Asia"
"20","22/11/2020",22,11,2020,154,12,"Afghanistan",38041757,"Asia"
"21","21/11/2020",21,11,2020,232,25,"Afghanistan",38041757,"Asia"
"22","20/11/2020",20,11,2020,282,5,"Afghanistan",38041757,"Asia"
"23","19/11/2020",19,11,2020,0,0,"Afghanistan",38041757,"Asia"
"24","18/11/2020",18,11,2020,383,13,"Afghanistan",38041757,"Asia"
"25","17/11/2020",17,11,2020,65,6,"Afghanistan",38041757,"Asia"
"26","16/11/2020",16,11,2020,163,9,"Afghanistan",38041757,"Asia"
"27","15/11/2020",15,11,2020,205,12,"Afghanistan",38041757,"Asia"
"28","14/11/2020",14,11,2020,66,10,"Afghanistan",38041757,"Asia"
"29","13/11/2020",13,11,2020,360,14,"Afghanistan",38041757,"Asia"
"30","12/11/2020",12,11,2020,146,4,"Afghanistan",38041757,"Asia"
"31","11/11/2020",11,11,2020,0,0,"Afghanistan",38041757,"Asia"
"32","10/11/2020",10,11,2020,224,12,"Afghanistan",38041757,"Asia"
"33","09/11/2020",9,11,2020,80,3,"Afghanistan",38041757,"Asia"
"34","08/11/2020",8,11,2020,126,6,"Afghanistan",38041757,"Asia"
"35","07/11/2020",7,11,2020,58,2,"Afghanistan",38041757,"Asia"
"36","06/11/2020",6,11,2020,40,0,"Afghanistan",38041757,"Asia"
"37","05/11/2020",5,11,2020,121,6,"Afghanistan",38041757,"Asia"
"38","04/11/2020",4,11,2020,86,4,"Afghanistan",38041757,"Asia"
"39","03/11/2020",3,11,2020,95,3,"Afghanistan",38041757,"Asia"
"40","02/11/2020",2,11,2020,132,5,"Afghanistan",38041757,"Asia"
"41","01/11/2020",1,11,2020,76,0,"Afghanistan",38041757,"Asia"
"42","31/10/2020",31,10,2020,157,4,"Afghanistan",38041757,"Asia"
"43","30/10/2020",30,10,2020,123,3,"Afghanistan",38041757,"Asia"
"44","29/10/2020",29,10,2020,0,0,"Afghanistan",38041757,"Asia"
"45","28/10/2020",28,10,2020,113,7,"Afghanistan",38041757,"Asia"
"46","27/10/2020",27,10,2020,199,8,"Afghanistan",38041757,"Asia"
"47","26/10/2020",26,10,2020,65,3,"Afghanistan",38041757,"Asia"
"48","25/10/2020",25,10,2020,81,4,"Afghanistan",38041757,"Asia"
"49","24/10/2020",24,10,2020,61,2,"Afghanistan",38041757,"Asia"
"50","23/10/2020",23,10,2020,116,4,"Afghanistan",38041757,"Asia"
"51","22/10/2020",22,10,2020,135,2,"Afghanistan",38041757,"Asia"
"52","21/10/2020",21,10,2020,88,2,"Afghanistan",38041757,"Asia"
"53","20/10/2020",20,10,2020,87,5,"Afghanistan",38041757,"Asia"
"54","19/10/2020",19,10,2020,59,4,"Afghanistan",38041757,"Asia"
"55","18/10/2020",18,10,2020,68,3,"Afghanistan",38041757,"Asia"
"56","17/10/2020",17,10,2020,47,4,"Afghanistan",38041757,"Asia"
"57","16/10/2020",16,10,2020,0,0,"Afghanistan",38041757,"Asia"
"58","15/10/2020",15,10,2020,32,1,"Afghanistan",38041757,"Asia"
"59","14/10/2020",14,10,2020,66,0,"Afghanistan",38041757,"Asia"
"60","13/10/2020",13,10,2020,129,3,"Afghanistan",38041757,"Asia"
"61","12/10/2020",12,10,2020,96,4,"Afghanistan",38041757,"Asia"
"62","11/10/2020",11,10,2020,0,0,"Afghanistan",38041757,"Asia"
"63","10/10/2020",10,10,2020,10,1,"Afghanistan",38041757,"Asia"
"64","09/10/2020",9,10,2020,77,2,"Afghanistan",38041757,"Asia"
"65","08/10/2020",8,10,2020,68,1,"Afghanistan",38041757,"Asia"
"66","07/10/2020",7,10,2020,62,2,"Afghanistan",38041757,"Asia"
"67","06/10/2020",6,10,2020,145,5,"Afghanistan",38041757,"Asia"
"68","05/10/2020",5,10,2020,44,0,"Afghanistan",38041757,"Asia"
"69","04/10/2020",4,10,2020,7,4,"Afghanistan",38041757,"Asia"
"70","03/10/2020",3,10,2020,5,0,"Afghanistan",38041757,"Asia"
"71","02/10/2020",2,10,2020,17,0,"Afghanistan",38041757,"Asia"
"72","01/10/2020",1,10,2020,14,0,"Afghanistan",38041757,"Asia"
"73","30/09/2020",30,9,2020,15,2,"Afghanistan",38041757,"Asia"
"74","29/09/2020",29,9,2020,12,3,"Afghanistan",38041757,"Asia"
"75","28/09/2020",28,9,2020,0,0,"Afghanistan",38041757,"Asia"
"76","27/09/2020",27,9,2020,35,0,"Afghanistan",38041757,"Asia"
"77","26/09/2020",26,9,2020,6,2,"Afghanistan",38041757,"Asia"
"78","25/09/2020",25,9,2020,16,0,"Afghanistan",38041757,"Asia"
"79","24/09/2020",24,9,2020,25,5,"Afghanistan",38041757,"Asia"
"80","23/09/2020",23,9,2020,71,2,"Afghanistan",38041757,"Asia"
"81","22/09/2020",22,9,2020,30,3,"Afghanistan",38041757,"Asia"
"82","21/09/2020",21,9,2020,0,0,"Afghanistan",38041757,"Asia"
"83","20/09/2020",20,9,2020,125,4,"Afghanistan",38041757,"Asia"
"84","19/09/2020",19,9,2020,47,1,"Afghanistan",38041757,"Asia"
"85","18/09/2020",18,9,2020,0,0,"Afghanistan",38041757,"Asia"
"86","17/09/2020",17,9,2020,17,0,"Afghanistan",38041757,"Asia"
"87","16/09/2020",16,9,2020,40,10,"Afghanistan",38041757,"Asia"
"88","15/09/2020",15,9,2020,99,6,"Afghanistan",38041757,"Asia"
"89","14/09/2020",14,9,2020,75,0,"Afghanistan",38041757,"Asia"
"90","13/09/2020",13,9,2020,35,0,"Afghanistan",38041757,"Asia"
"91","12/09/2020",12,9,2020,34,0,"Afghanistan",38041757,"Asia"
"92","11/09/2020",11,9,2020,28,0,"Afghanistan",38041757,"Asia"
"93","10/09/2020",10,9,2020,24,2,"Afghanistan",38041757,"Asia"
"94","09/09/2020",9,9,2020,26,3,"Afghanistan",38041757,"Asia"
"95","08/09/2020",8,9,2020,96,3,"Afghanistan",38041757,"Asia"
"96","07/09/2020",7,9,2020,74,2,"Afghanistan",38041757,"Asia"
"97","06/09/2020",6,9,2020,20,0,"Afghanistan",38041757,"Asia"
