"","word","label","frequency","length","reactionTime"
"1",1,"hfshort",4.857124915,2,749.315789473684
"2",2,"hfshort",4.905633507,2,694.65
"3",3,"lfshort",2.033605574,3,779.15
"4",4,"hfshort",4.640837981,2,659.526315789474
"5",5,"hflong",3.785533147,5,691.458333333333
"6",6,"hfshort",5.391809885,2,614.192307692308
"7",7,"lfshort",2.030865537,2.5,746.65
"8",8,"hfshort",4.915184007,2,680.047619047619
"9",9,"hflong",4.44212286,5,760.8
"10",10,"hfshort",4.467108725,2,655.15
"11",11,"hfshort",4.82536682,2,703
"12",12,"hfshort",5.105954911,2,655.192307692308
"13",13,"hfshort",4.542122589,2,652.421052631579
"14",14,"hfshort",6.203773895,2,694.76
"15",15,"hfshort",4.869921727,2,680.4
"16",16,"hfshort",4.492362164,2,645.8
"17",17,"hflong",3.699381201,5,787.64
"18",18,"hfshort",4.860100078,2,673.818181818182
"19",19,"hflong",3.501897158,5.5,823.217391304348
"20",20,"hfshort",6.039675314,2,624.769230769231
"21",21,"hfshort",5.131637294,2,691.461538461538
"22",22,"hflong",4.618484159,5,864.875
"23",23,"hfshort",4.674786489,2,683.904761904762
"24",24,"lfshort",1.849241789,3,917.260869565217
"25",25,"hfshort",5.040921156,2,637
"26",26,"hfshort",4.49487186,2,800.444444444444
"27",27,"hfshort",4.545690593,2,673.105263157895
"28",28,"hfshort",4.812825312,2,690.952380952381
"29",29,"hfshort",4.820976924,2,663.5
"30",30,"hfshort",4.834849599,2,650.619047619048
"31",31,"hfshort",4.814705819,2,654.6
"32",32,"hfshort",5.565437022,2,602.782608695652
"33",33,"hflong",3.753530694,5.5,743.12
"34",34,"hflong",4.120480038,5,794.208333333333
"35",35,"hflong",4.913840153,5,828.173913043478
"36",36,"hfshort",5.201569048,2,660.038461538462
"37",37,"lflong",2.049692394,5,911.36
"38",38,"hfshort",4.453966172,2,688.777777777778
"39",39,"hflong",3.821658268,5,875.181818181818
"40",40,"hflong",3.620164573,5,829.708333333333
"41",41,"hfshort",4.619477595,2,712.333333333333
"42",42,"hflong",3.688816519,5.5,756.538461538462
"43",43,"lflong",1.849241789,5.5,787.423076923077
"44",44,"hfshort",4.492362164,2,791.052631578947
"45",45,"hfshort",4.643783456,2,679.333333333333
"46",46,"hfshort",4.50735413,2,666.684210526316
"47",47,"hfshort",5.51791616,2,641.846153846154
"48",48,"hfshort",4.842885706,2,609.95
"49",49,"hfshort",6.580752143,2,656.923076923077
"50",50,"lflong",2.033605574,5,830.333333333333
"51",51,"hflong",4.640013982,5.5,847.380952380952
"52",52,"lflong",2.016899881,5,819.5
"53",53,"lflong",2.044396055,5,841.695652173913
"54",54,"hflong",4.483728748,5.5,979.958333333333
"55",55,"lflong",2.049692394,4.5,766.583333333333
"56",56,"hflong",4.390773032,5.5,825.423076923077
"57",57,"hfshort",4.507455051,2,729.157894736842
"58",58,"hfshort",4.786253069,2,670.571428571429
"59",59,"hflong",4.011501656,5.5,779.703703703704
"60",60,"lfshort",2.039034326,3,855.888888888889
"61",61,"hfshort",6.075595531,2,707.52
"62",62,"lflong",2.030865537,5,971.7
"63",63,"hfshort",5.512755166,2,632.192307692308
"64",64,"hflong",4.608255521,5.5,806.916666666667
"65",65,"lflong",1.956060091,5.5,881.115384615385
"66",66,"hfshort",4.00882055,1.5,667.148148148148
"67",67,"hflong",4.359283853,5.5,866.423076923077
"68",68,"hflong",3.889760451,5.5,777.739130434783
"69",69,"lflong",1.962542219,5,910.423076923077
"70",70,"lfshort",2.099380179,3,707.833333333333
"71",71,"lflong",2.039034326,5.5,824.538461538462
"72",72,"hflong",3.521339647,5.5,1066.4
"73",73,"lflong",1.984496795,5,997.052631578947
"74",74,"hflong",4.780073311,5.5,745.192307692308
"75",75,"hflong",4.110527539,5,804.28
"76",76,"lfshort",1.845045675,3,801.222222222222
"77",77,"hfshort",4.381297581,2,714.958333333333
